0x000001E846852890, 38194293303246600, 133937919, 133937953, 34, 1920x1080 
0x000001E846852890, 38194293304580080, 133938052, 133938069, 17, 1920x1080 
0x000001E846852890, 38194293305252400, 133938117, 133938133, 16, 1920x1080 
0x000001E846852890, 38194293305922328, 133938184, 133938201, 17, 1920x1080 
0x000001E846852890, 38194293306592384, 133938250, 133938267, 17, 1920x1080 
0x000001E846852890, 38194293307262504, 133938315, 133938331, 16, 1920x1080 
0x000001E846852890, 38194293307932440, 133938385, 133938401, 16, 1920x1080 
0x000001E846852890, 38194293308602728, 133938450, 133938465, 15, 1920x1080 
0x000001E846852890, 38194293309272000, 133938518, 133938534, 16, 1920x1080 
0x000001E846852890, 38194293309942584, 133938586, 133938603, 17, 1920x1080 
0x000001E846852890, 38194293310612392, 133938652, 133938669, 17, 1920x1080 
0x000001E846852890, 38194293311282568, 133938719, 133938735, 16, 1920x1080 
0x000001E846852890, 38194293311952344, 133938785, 133938801, 16, 1920x1080 
0x000001E846852890, 38194293312622464, 133938853, 133938869, 16, 1920x1080 
0x000001E846852890, 38194293313292648, 133938920, 133938936, 16, 1920x1080 
0x000001E846852890, 38194293313962344, 133938988, 133939005, 17, 1920x1080 
0x000001E846852890, 38194293314632360, 133939056, 133939073, 17, 1920x1080 
0x000001E846852890, 38194293315302360, 133939124, 133939140, 16, 1920x1080 
0x000001E846852890, 38194293315972416, 133939190, 133939206, 16, 1920x1080 
0x000001E846852890, 38194293316632304, 133939257, 133939273, 16, 1920x1080 
0x000001E846852890, 38194293317302480, 133939319, 133939335, 16, 1920x1080 
0x000001E846852890, 38194293317972520, 133939386, 133939402, 16, 1920x1080 
0x000001E846852890, 38194293318642320, 133939464, 133939480, 16, 1920x1080 
0x000001E846852890, 38194293319302496, 133939539, 133939555, 16, 1920x1080 
0x000001E846852890, 38194293319972352, 133939611, 133939627, 16, 1920x1080 
0x000001E846852890, 38194293325302944, 133940122, 133940139, 17, 1920x1080 
0x000001E846852890, 38194293325972880, 133940188, 133940204, 16, 1920x1080 
0x000001E846852890, 38194293330647024, 133940663, 133940679, 16, 1920x1080 
0x000001E846852890, 38194293331316648, 133940726, 133940743, 17, 1920x1080 
0x000001E846852890, 38194293331977448, 133940787, 133940803, 16, 1920x1080 
0x000001E846852890, 38194293332647448, 133940858, 133940875, 17, 1920x1080 
0x000001E846852890, 38194293333317080, 133940926, 133940943, 17, 1920x1080 
0x000001E846852890, 38194293333984208, 133940993, 133941008, 15, 1920x1080 
0x000001E846852890, 38194293334654392, 133941055, 133941071, 16, 1920x1080 
0x000001E846852890, 38194293335324192, 133941126, 133941142, 16, 1920x1080 
0x000001E846852890, 38194293335994240, 133941194, 133941210, 16, 1920x1080 
0x000001E846852890, 38194293336664200, 133941259, 133941275, 16, 1920x1080 
0x000001E846852890, 38194293337334464, 133941325, 133941341, 16, 1920x1080 
0x000001E846852890, 38194293338004280, 133941405, 133941421, 16, 1920x1080 
0x000001E846852890, 38194293338674480, 133941459, 133941475, 16, 1920x1080 
0x000001E846852890, 38194293339334352, 133941545, 133941561, 16, 1920x1080 
0x000001E846852890, 38194293343353960, 133941928, 133941944, 16, 1920x1080 
0x000001E846852890, 38194293344684232, 133942076, 133942093, 17, 1920x1080 
